doc_id,item,category,amount,price,discount
CHK-05-02-60281,Biostar X670E Valkyrie,motherboards,4,55778,574.55
CHK-05-02-60281,Intel Core i5-12400F,processors,1,26794,974.6
CHK-05-02-57997,Kingston Fury Beast 16GB DDR4,RAM,4,93784,11971.11
CHK-05-02-57997,Seagate FireCuda 520 1TB,SSDs,5,14245,317.27
CHK-05-02-57997,Intel Core i7-13700K,processors,4,67929,657.48
CHK-05-02-57997,Intel Core i5-12400F,processors,3,72903,442.24
CHK-05-02-18119,Gigabyte Aorus Z790 Master,motherboards,5,28839,1656.24
CHK-05-02-18119,Intel Core i7-13700K,processors,4,67920,6361.71
CHK-05-02-60177,Thermaltake Toughpower GF1 850W,power supplies,3,5977,469.34
CHK-05-02-60177,NVIDIA GeForce RTX 4090,graphics cards,3,39082,774.94
CHK-05-02-60177,Cooler Master Hyper 212,coolers,1,60804,6028.94
CHK-05-02-60177,Seagate FireCuda 520 1TB,SSDs,4,2055,68.15
CHK-05-02-60177,MSI MAG Z790 Tomahawk,motherboards,4,98023,7555.49
CHK-05-02-60177,Kingston Fury Beast 16GB DDR4,RAM,1,62093,2971.98
CHK-05-02-60177,AMD Radeon RX 6800 XT,graphics cards,4,98425,1700.71
CHK-05-02-47653,NVIDIA GeForce RTX 3080 Ti,graphics cards,4,9954,61.73
CHK-05-02-47653,Crucial Ballistix 32GB DDR4,RAM,2,35554,1580.57
CHK-05-02-47649,EK AIO Elite 360 D-RGB Cooler,coolers,2,22664,3384.52
CHK-05-02-47649,AMD Ryzen 9 7950X,processors,2,83243,5563.88
CHK-05-02-47649,Phanteks Eclipse P400A,cases,4,31056,3064.32
CHK-05-02-47649,Arctic Liquid Freezer II 360,coolers,2,87339,4581.48
CHK-05-02-47649,Phanteks Eclipse P400A,cases,1,47551,4211.45
CHK-05-02-47649,AMD Ryzen 7 7700X,processors,3,37072,3254.07
CHK-05-02-47649,Arctic Liquid Freezer II 360,coolers,4,35608,5248.9
CHK-05-02-39988,Deepcool AK620 CPU Cooler,coolers,1,49037,1165.06
CHK-05-02-39988,Seagate FireCuda 520 1TB,SSDs,4,82587,5003.12
CHK-05-02-39988,Thermaltake Toughpower GF1 850W,power supplies,4,71853,9831.73
CHK-05-02-39988,Fractal Design Meshify 2,cases,2,92996,8094.06
CHK-05-02-64711,Crucial Ballistix 32GB DDR4,RAM,1,42061,5918.97
CHK-05-02-64711,AMD Ryzen 9 7950X,processors,2,56407,8327.92
CHK-05-02-64711,Corsair 4000D Airflow Case,cases,1,45924,5591.02
CHK-05-02-64711,Western Digital Black SN850X 2TB,SSDs,4,87275,8040.75
CHK-05-02-64711,Phanteks Eclipse P400A,cases,1,88749,11068.51
CHK-05-02-92114,Corsair RM850x PSU,power supplies,4,40170,4567.08
CHK-05-02-92114,Kingston Fury Beast 16GB DDR4,RAM,3,86652,2437.29
CHK-05-02-29995,Crucial P5 Plus 500GB SSD,SSDs,1,93199,7459.26
CHK-05-02-29995,Silverstone RL06 Case,cases,1,86475,11088.14
CHK-05-02-29995,Fractal Design Meshify 2,cases,4,38679,1085.23
CHK-05-02-29995,AMD Radeon RX 6800 XT,graphics cards,5,87974,10549.01
CHK-05-02-29995,AMD Radeon RX 6800 XT,graphics cards,1,6432,601.51
CHK-05-02-69637,AMD Ryzen 9 7950X,processors,5,62957,5188.36
CHK-05-02-69637,MSI MPG B650 Carbon,motherboards,3,53263,3394.35
CHK-05-02-69637,EK AIO Elite 360 D-RGB Cooler,coolers,3,72882,4548.37
CHK-05-02-69637,Crucial P5 Plus 500GB SSD,SSDs,1,43281,1448.43
CHK-05-02-69637,MSI MAG Z790 Tomahawk,motherboards,2,81506,8242.81
CHK-05-02-69637,Intel Core i5-12400F,processors,2,46955,4013.55
CHK-05-02-69637,AMD Radeon RX 7900 XTX,graphics cards,1,73920,5068.77
CHK-05-02-69637,Lian Li Lancool III,cases,5,67736,522.04
CHK-05-02-94607,NVIDIA GeForce RTX 4090,graphics cards,5,43399,3760.6
CHK-05-02-94607,AMD Radeon RX 7900 XTX,graphics cards,2,76581,8240.95
