doc_id,item,category,amount,price,discount
CHK-04-02-43563,be quiet! Dark Rock Pro 4,coolers,3,8872,905.08
CHK-04-02-43563,Gigabyte Aorus Z790 Master,motherboards,3,54048,6545.26
CHK-04-02-43563,Corsair 4000D Airflow Case,cases,1,4540,473.75
CHK-04-02-43563,AMD Radeon RX 7900 XTX,graphics cards,3,80616,1371.03
CHK-04-02-65357,MSI MPG B650 Carbon,motherboards,5,49794,5304.71
CHK-04-02-65357,Patriot Viper Steel 32GB DDR4,RAM,4,78140,9784.13
CHK-04-02-65357,EVGA SuperNOVA 1000 G+,power supplies,1,20906,1843.81
CHK-04-02-65357,AMD Ryzen 5 7500F,processors,5,11808,546.02
CHK-04-02-35619,be quiet! Dark Rock Pro 4,coolers,1,63194,6758.17
CHK-04-02-89669,EVGA SuperNOVA 1000 G+,power supplies,4,18208,71.84
CHK-04-02-89669,Deepcool AK620 CPU Cooler,coolers,2,63240,5639.35
CHK-04-02-89669,AMD Radeon RX 6800 XT,graphics cards,4,34732,1670.13
CHK-04-02-89669,EVGA SuperNOVA 1000 G+,power supplies,1,76980,4648.03
CHK-04-02-89669,Corsair RM850x PSU,power supplies,5,12913,877.94
CHK-04-02-22460,Noctua NH-D15 CPU Cooler,coolers,4,34617,3461.63
CHK-04-02-22460,NZXT H510 Case,cases,4,4855,411.3
CHK-04-02-22460,ASRock B550 Phantom Gaming,motherboards,4,46433,4945.26
CHK-04-02-22460,AMD Radeon RX 6800 XT,graphics cards,3,38043,805.27
CHK-04-02-68243,Phanteks Eclipse P400A,cases,3,55921,5804.49
CHK-04-02-68243,HyperX Predator 64GB DDR5,RAM,3,44234,2136.25
CHK-04-02-68243,Arctic Liquid Freezer II 360,coolers,5,13781,1754.92
CHK-04-02-68243,EVGA SuperNOVA 1000 G+,power supplies,3,20156,824.54
