doc_id,item,category,amount,price,discount
CHK-03-01-14350,G.Skill Trident Z5 64GB DDR4,RAM,3,84052,12334.9
CHK-03-01-14350,Seagate FireCuda 520 1TB,SSDs,3,9748,616.47
CHK-03-01-14350,Lian Li Lancool III,cases,3,58086,3637.07
CHK-03-01-14350,AMD Ryzen 5 7500F,processors,1,49575,5355.61
CHK-03-01-14350,Seasonic Focus GX-750 PSU,power supplies,1,34322,1957.42
CHK-03-01-14350,EVGA SuperNOVA 1000 G+,power supplies,5,16755,1554.11
CHK-03-01-14350,Western Digital Black SN850X 2TB,SSDs,1,15903,2093.45
CHK-03-01-13893,Seagate FireCuda 520 1TB,SSDs,3,85928,10559.23
CHK-03-01-13893,Samsung 990 PRO 1TB SSD,SSDs,4,77536,1306.44
CHK-03-01-13893,ASUS ROG Strix Z790-E,motherboards,5,84538,3536.57
CHK-03-01-13893,Corsair 4000D Airflow Case,cases,3,24215,2533.81
CHK-03-01-13893,Corsair 4000D Airflow Case,cases,1,85503,8365.84
CHK-03-01-89227,EK AIO Elite 360 D-RGB Cooler,coolers,4,82012,8449.74
CHK-03-01-89227,ASUS ROG Strix Z790-E,motherboards,2,32171,3207.12
CHK-03-01-22470,Intel Core i9-13900K,processors,5,26038,3478.23
CHK-03-01-22470,G.Skill Trident Z5 64GB DDR4,RAM,3,40720,2439.37
CHK-03-01-22470,AMD Radeon RX 6800 XT,graphics cards,2,69795,10279.96
CHK-03-01-27175,Deepcool AK620 CPU Cooler,coolers,2,76129,7695.92
CHK-03-01-27175,Seasonic Focus GX-750 PSU,power supplies,3,60849,5766.95
CHK-03-01-37383,HyperX Predator 64GB DDR5,RAM,3,78903,1665.54
CHK-03-01-37383,Seagate FireCuda 520 1TB,SSDs,3,21208,2359.71
CHK-03-01-37383,AMD Radeon RX 6800 XT,graphics cards,3,98365,2696.84
CHK-03-01-37383,NVIDIA GeForce RTX 4090,graphics cards,5,65933,7032.72
CHK-03-01-37383,Kingston Fury Beast 16GB DDR4,RAM,3,20049,1517.22
CHK-03-01-37383,Corsair RM850x PSU,power supplies,5,61403,4988.27
CHK-03-01-69651,ASRock B550 Phantom Gaming,motherboards,4,75455,7423.77
CHK-03-01-69651,Western Digital Black SN850X 2TB,SSDs,4,45372,224.8
CHK-03-01-69651,NVIDIA GeForce RTX 4090,graphics cards,4,46588,2585.49
CHK-03-01-69651,EK AIO Elite 360 D-RGB Cooler,coolers,1,31187,86.81
CHK-03-01-69651,AMD Ryzen 9 7950X,processors,5,33649,525.85
CHK-03-01-69651,Patriot Viper Steel 32GB DDR4,RAM,1,5151,485.29
CHK-03-01-77949,Deepcool AK620 CPU Cooler,coolers,5,5075,750.03
CHK-03-01-77949,EK AIO Elite 360 D-RGB Cooler,coolers,5,68962,3161.11
CHK-03-01-70675,AMD Ryzen 9 7950X,processors,5,91952,3033.53
CHK-03-01-70675,Corsair 4000D Airflow Case,cases,4,2443,226.66
CHK-03-01-61442,Seasonic Focus GX-750 PSU,power supplies,3,13718,296.54
CHK-03-01-61442,AMD Ryzen 9 7950X,processors,3,38013,537.9
CHK-03-01-61442,AMD Ryzen 9 7950X,processors,5,63287,3983.85
CHK-03-01-61442,Fractal Design Meshify 2,cases,2,5236,692.38
CHK-03-01-61442,Gigabyte Aorus Z790 Master,motherboards,1,38534,2088.35
CHK-03-01-91844,Seasonic Focus GX-750 PSU,power supplies,3,22651,867.93
CHK-03-01-91844,AMD Radeon RX 7900 XTX,graphics cards,5,87178,9478.86
CHK-03-01-91844,Intel Core i9-13900K,processors,4,58216,4131.3
CHK-03-01-91844,Western Digital Black SN850X 2TB,SSDs,2,20078,1006.44
CHK-03-01-91844,Western Digital Black SN850X 2TB,SSDs,5,87412,5315.49
CHK-03-01-19868,AMD Radeon RX 6800 XT,graphics cards,5,41291,6120.12
CHK-03-01-19868,Phanteks Eclipse P400A,cases,5,59451,8856.06
CHK-03-01-56730,Intel Core i5-12400F,processors,4,69824,10187.15
CHK-03-01-56730,Thermaltake Toughpower GF1 850W,power supplies,5,20154,2012.15
CHK-03-01-56730,Crucial Ballistix 32GB DDR4,RAM,2,87708,6192.17
CHK-03-01-56730,Samsung 990 PRO 1TB SSD,SSDs,3,41213,3040.43
CHK-03-01-56730,Biostar X670E Valkyrie,motherboards,4,26075,908.11
CHK-03-01-56730,Intel Core i5-12400F,processors,5,97802,1341.94
CHK-03-01-56730,Kingston Fury Beast 16GB DDR4,RAM,2,57467,4029.62
CHK-03-01-10877,ASUS ROG Strix Z790-E,motherboards,1,1923,163.11
CHK-03-01-10877,Intel Core i7-13700K,processors,1,41801,1459.58
CHK-03-01-10877,AMD Ryzen 9 7950X,processors,1,83481,1526.3
CHK-03-01-10877,G.Skill Trident Z5 64GB DDR4,RAM,3,49017,6314.38
CHK-03-01-10877,Fractal Design Meshify 2,cases,4,22001,2444.99
CHK-03-01-96058,AMD Ryzen 9 7950X,processors,5,77690,1323.26
CHK-03-01-29773,Thermaltake Toughpower GF1 850W,power supplies,3,46187,810.82
CHK-03-01-29773,Crucial Ballistix 32GB DDR4,RAM,1,75168,8592.15
CHK-03-01-29773,Seagate FireCuda 520 1TB,SSDs,2,66465,8867.7
CHK-03-01-85806,NVIDIA GeForce RTX 4090,graphics cards,1,34405,1855.9
CHK-03-01-85806,Thermaltake Toughpower GF1 850W,power supplies,3,45687,956.17
CHK-03-01-80412,Fractal Design Meshify 2,cases,3,47827,3116.98
CHK-03-01-80412,Intel Core i9-13900K,processors,5,73950,5289.36
CHK-03-01-80412,Crucial P5 Plus 500GB SSD,SSDs,3,29382,4378.09
CHK-03-01-80412,AMD Ryzen 7 7700X,processors,4,86640,10976.98
CHK-03-01-80412,Lian Li Lancool III,cases,5,83102,5912.18
CHK-03-01-80412,AMD Ryzen 7 7700X,processors,5,21915,2937.59
CHK-03-01-33605,Silverstone RL06 Case,cases,2,2362,284.08
CHK-03-01-33605,AMD Ryzen 5 7500F,processors,3,23341,2436.34
CHK-03-01-33605,Seagate FireCuda 520 1TB,SSDs,5,11170,166.29
CHK-03-01-33605,HyperX Predator 64GB DDR5,RAM,3,1936,5.66
CHK-03-01-33605,MSI MPG B650 Carbon,motherboards,3,53984,3037.58
CHK-03-01-33605,AMD Ryzen 7 7700X,processors,2,70951,3807.23
CHK-03-01-33605,Thermaltake Toughpower GF1 850W,power supplies,1,69880,772.74
CHK-03-01-33605,Seagate FireCuda 520 1TB,SSDs,3,75450,6147.81
CHK-03-01-39061,NZXT H510 Case,cases,2,55058,232.95
CHK-03-01-39061,ASRock B550 Phantom Gaming,motherboards,4,92982,4510.98
CHK-03-01-39061,Gigabyte Aorus Z790 Master,motherboards,2,35538,3392.64
CHK-03-01-39061,Biostar X670E Valkyrie,motherboards,1,80651,8682.25
CHK-03-01-39061,Patriot Viper Steel 32GB DDR4,RAM,3,61398,3925.11
CHK-03-01-39061,AMD Ryzen 7 7700X,processors,2,45837,5949.83
CHK-03-01-39061,Samsung 990 PRO 1TB SSD,SSDs,2,58113,3511.28
