doc_id,item,category,amount,price,discount
CHK-02-03-56794,Cooler Master Hyper 212,coolers,4,53574,7424.64
CHK-02-03-56794,Phanteks Eclipse P400A,cases,2,27302,304.71
CHK-02-03-56794,Intel Core i9-13900K,processors,4,40763,5411.04
CHK-02-03-56794,Samsung 990 PRO 1TB SSD,SSDs,1,36067,2269.43
CHK-02-03-56794,Thermaltake Toughpower GF1 850W,power supplies,2,26994,2223.37
CHK-02-03-62377,Samsung 990 PRO 1TB SSD,SSDs,3,42347,2133.09
CHK-02-03-62377,NVIDIA GeForce RTX 4090,graphics cards,3,34745,1568.99
CHK-02-03-62377,EVGA SuperNOVA 1000 G+,power supplies,5,65935,5753.94
CHK-02-03-62377,Kingston Fury Beast 16GB DDR4,RAM,1,75583,8339.26
CHK-02-03-62377,AMD Ryzen 7 7700X,processors,2,28480,1362.86
CHK-02-03-62377,Patriot Viper Steel 32GB DDR4,RAM,5,48955,4543.98
CHK-02-03-62377,Western Digital Black SN850X 2TB,SSDs,5,79143,10595.63
CHK-02-03-62377,Arctic Liquid Freezer II 360,coolers,4,91259,9799.59
CHK-02-03-54620,ASRock B550 Phantom Gaming,motherboards,5,21007,2929.37
CHK-02-03-54620,Intel Core i7-13700K,processors,3,74178,8727.05
CHK-02-03-54620,Fractal Design Meshify 2,cases,2,47582,4785.8
CHK-02-03-54620,Samsung 990 PRO 1TB SSD,SSDs,5,12831,1221.1
CHK-02-03-54620,Seasonic Focus GX-750 PSU,power supplies,4,44259,48.28
CHK-02-03-54620,HyperX Predator 64GB DDR5,RAM,3,39240,4857.39
CHK-02-03-54620,AMD Ryzen 7 7700X,processors,5,40722,3171.55
CHK-02-03-46795,ASRock B550 Phantom Gaming,motherboards,4,87318,9104.54
CHK-02-03-46795,Cooler Master Hyper 212,coolers,2,84351,2997.12
CHK-02-03-45651,Fractal Design Meshify 2,cases,1,33856,3653.84
CHK-02-03-45651,Intel Core i5-12400F,processors,5,34295,4575.07
CHK-02-03-52192,ASRock B550 Phantom Gaming,motherboards,1,73890,4509.89
CHK-02-03-52192,Patriot Viper Steel 32GB DDR4,RAM,4,53045,4467.53
CHK-02-03-52192,Samsung 990 PRO 1TB SSD,SSDs,3,50734,2310.27
CHK-02-03-52192,Seagate FireCuda 520 1TB,SSDs,4,48772,6356.31
CHK-02-03-52192,NVIDIA GeForce RTX 4090,graphics cards,5,74919,11013.38
CHK-02-03-52192,Gigabyte Aorus Z790 Master,motherboards,1,84710,2970.0
CHK-02-03-82309,NVIDIA GeForce RTX 3080 Ti,graphics cards,5,34345,1335.17
CHK-02-03-82309,NVIDIA GeForce RTX 4090,graphics cards,5,90643,7772.63
CHK-02-03-82309,Seasonic Focus GX-750 PSU,power supplies,4,43443,1127.97
CHK-02-03-82309,Corsair 4000D Airflow Case,cases,5,52004,7409.3
CHK-02-03-82309,Western Digital Black SN850X 2TB,SSDs,3,16492,925.18
CHK-02-03-82309,NVIDIA GeForce RTX 3080 Ti,graphics cards,1,84605,2161.21
CHK-02-03-82309,Seasonic Focus GX-750 PSU,power supplies,2,97129,12060.4
CHK-02-03-82309,Cooler Master Hyper 212,coolers,5,14193,1990.24
CHK-02-03-81057,Fractal Design Meshify 2,cases,3,83299,6117.08
CHK-02-03-81057,NVIDIA GeForce RTX 4090,graphics cards,5,39713,4852.19
CHK-02-03-48412,Seagate FireCuda 520 1TB,SSDs,1,79042,4510.34
CHK-02-03-48412,Samsung 990 PRO 1TB SSD,SSDs,5,70834,6019.73
CHK-02-03-29765,Fractal Design Meshify 2,cases,1,64937,107.77
CHK-02-03-29765,NZXT H510 Case,cases,2,84211,8164.61
CHK-02-03-29765,Cooler Master Hyper 212,coolers,2,55455,950.08
CHK-02-03-29765,Silverstone RL06 Case,cases,4,69143,6501.41
CHK-02-03-29765,EVGA SuperNOVA 1000 G+,power supplies,2,89626,4355.46
CHK-02-03-29765,AMD Ryzen 5 7500F,processors,3,38500,1303.54
CHK-02-03-29765,AMD Radeon RX 7900 XTX,graphics cards,5,63787,7872.36
CHK-02-03-39087,be quiet! Dark Rock Pro 4,coolers,1,79851,5924.68
CHK-02-03-39087,Thermaltake Toughpower GF1 850W,power supplies,5,22212,23.55
CHK-02-03-39087,Biostar X670E Valkyrie,motherboards,2,96605,10313.39
CHK-02-03-39087,Corsair Vengeance 32GB DDR5,RAM,5,29042,1186.29
CHK-02-03-42403,ASRock B550 Phantom Gaming,motherboards,4,7275,530.06
CHK-02-03-42403,EK AIO Elite 360 D-RGB Cooler,coolers,3,6840,3.31
CHK-02-03-42403,Deepcool AK620 CPU Cooler,coolers,1,55246,4920.62
CHK-02-03-85232,Silverstone RL06 Case,cases,3,15227,2031.63
CHK-02-03-85232,MSI MAG Z790 Tomahawk,motherboards,1,41319,4848.7
